saitama_key,old_hamamatsu_key,hamamatsu_key,fukuoka_key,tadami_key,iide_key,ishikawa_key,noto_key,nishi_awa_key,minabe_tanabe_key
1110700012,2213202001,2213202001,4013102009,1538503001,1520605001,2121910001,1738402001,3620701005,3020601017
1110801001,2213101037,2213101037,4013199999,1538503002,1520605004,2120305016,1740702002,3620701010,3020601014
1110802005,2213101038,2213101038,4013300003,1538504001,1520606010,2120304013,1738404006,3620701006,3020601015
1110802004,2213101063,2213101063,4013300001,1538510008,1520606011,2120304014,1738404003,3620701007,3020601016
1110601005,2213101033,2213101033,4013300002,1538512001,1520606012,2120305001,1738404004,3620801016,3020601018
1110601017,2213101036,2213101036,4013300004,1538512002,1520606013,2121704002,1738404007,3620702022,3020601019
1110601021,2213101028,2213101028,4013300005,1538512006,1520607018,2121704011,1738404002,3648901017,3020601020
1110601018,2213101046,2213101046,4013300006,1538513003,1520607017,2121704012,1738404005,3620701008,3020601021
1110601010,2213101044,2213101044,4013399999,1538513001,1520607019,2121706010,1720207001,3620802009,3020602003
1110601012,2213101049,2213101049,4013599999,1520409999,1538507004,2160400001,1720207003,3620701011,3020602001
1110601014,2213101053,2213101053,4013799999,1520903014,1522706024,2160400002,1720207002,3620802012,3020602002
1110601019,2213101045,2213101045,4013101004,1520903016,1538506003,2160400003,1720207004,3620701012,3020602004
1110601016,2213101056,2213101056,4013101003,1521812005,1538505003,2160400005,1720205006,3620802005,3020603002
1110601015,2213101055,2213101055,4013101006,1521812008,1538511007,2160400006,1720205001,3620703006,3020602005
1110601002,2213101041,2213101041,4013101007,1521812009,1538511008,2160400004,1720711004,3648902003,3020603001
1110601013,2213101062,2213101062,4013101008,1521813006,1538511009,2160400007,1720205002,3648902004,3020604006
1110601003,2213101050,2213101050,4013101001,1521813007,1538511010,2160400008,1720210006,3620701013,3020604008
1110601007,2213101052,2213101052,4013101002,1521813019,1538511011,2160400009,1720703006,3620701014,3020604009
1110601011,2213101057,2213101057,4013101005,1521813008,1538511012,2160400010,1720201001,3620802015,3020604010
1110601009,2213101058,2213101058,4013201020,1521813015,1538511013,2160400012,1720201003,3620702006,3020604011
1110601008,2213101026,2213101026,4013201021,1521813016,1538511014,2160400013,1720201010,3620703014,3020606004
1110601020,2213101032,2213101032,4013201018,1521813017,1558101018,2160400011,1720201008,3620703015,3020605003
1110801011,2213101051,2213101051,4013201019,1521813020,720107001,2160400014,1720201009,3620701004,3020605004
1110801016,2213101054,2213101054,4013201022,1521813021,720110001,2160400015,1720201036,3620701001,3020606003
1110801013,2213101040,2213101040,4013201025,1521813018,720119012,2160400016,1720201011,3620701002,3020606001
1110801004,2213101043,2213101043,4013201024,1522512002,720118009,2160400901,1720201012,3620701003,3020606002
1110801012,2213101025,2213101025,4013201023,1522509014,720118011,1820506001,1720201041,3620701009,3020606005
1110801005,2213101048,2213101048,4013201026,1522510010,720120014,1820506002,1720205007,3620702001,3020609002
1110801015,2213101039,2213101039,4013201017,1522510013,720126010,1820604004,1720201021,3620702002,3020607001
1110801008,2213101024,2213101024,4013201016,1522512007,720323012,1820604005,1720201022,3620702003,3020607002
1110801003,2213101059,2213101059,4013401012,1538508010,720806002,1820604006,1720205008,3620702004,3020607004
1110801006,2213101027,2213101027,4013401013,1538508015,720802018,1820604007,1720201023,3620702005,3020607005
1110801017,2213101042,2213101042,4013401017,1538508013,720807018,1820605008,1720201028,3620702007,3020607006
1110801007,2213101035,2213101035,4013401014,1538508014,720807009,1820606010,1720206009,3620702008,3020609004
1110801010,2213101060,2213101060,4013401003,1538509004,720809004,1721022011,1720201031,3620703016,3020609005
1110801018,2213101061,2213101061,4013401016,1538509008,720809012,1721022007,1720201032,3620703011,3020609001
1110801009,2213101031,2213101031,4013401015,1538509010,720810008,1721022012,1720201033,3620703012,3020609006
1110901003,2213101034,2213101034,4013401005,1538509011,720810014,1721022009,1720201035,3620703013,3020609007
1110901001,2213101047,2213101047,4013401009,736703005,720815013,1720106017,1720201037,3620703017,3020609008
1110901025,2213201010,2213201010,4013401011,736400002,720815022,1720105009,1720201038,3620703018,3020609009
1110901009,2213201005,2213201005,4013401010,736701001,720822002,1720107007,1720201039,3620703019,3020609010
1110901017,2213201001,2213201001,4013401024,736701003,720822003,1720107009,1720201043,3620703020,3020610001
1110901006,2213201004,2213201004,4013401019,736702002,721002010,1720107010,1720201040,3620703021,3020610002
1110901005,2213201006,2213201006,4013401018,736702003,721004016,1720107012,1720201042,3620703022,3020610003
1110901002,2213201002,2213201002,4013401023,736702007,732201014,1720108043,1720209002,3620704008,3020611002
1110901014,2213201008,2213201008,4013401020,736703001,740202002,1720305009,1720205003,3620704009,3039102006
1110901012,2213201007,2213201007,4013401022,736808003,740201003,1720305010,1720205009,3620704010,3039102007
1110901010,2213201003,2213201003,4013401021,736808001,740201004,1720307001,1720205004,3620704011,3039103008
1110901004,2213201009,2213201009,4013401026,736808004,740202001,1720619012,1720205005,3620704012,3039103009
1110901016,2213401003,2213401001,4013401025,736808005,740202003,1720619013,1720206001,3620704013,3039103010
